,index,Unnamed: 0,area,equivalent_diameter,orientation,major_axis_length,minor_axis_length,perimeter,min_intensity,mean_intensity,max_intensity,solidity,eccentricity,centroid_local-0,centroid_local-1,feret_diameter_max,moments-0-0,moments-0-1,moments-0-2,moments-0-3,moments-1-0,moments-1-1,moments-1-2,moments-1-3,moments-2-0,moments-2-1,moments-2-2,moments-2-3,moments-3-0,moments-3-1,moments-3-2,moments-3-3,moments_central-0-0,moments_central-0-1,moments_central-0-2,moments_central-0-3,moments_central-1-0,moments_central-1-1,moments_central-1-2,moments_central-1-3,moments_central-2-0,moments_central-2-1,moments_central-2-2,moments_central-2-3,moments_central-3-0,moments_central-3-1,moments_central-3-2,moments_central-3-3,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,label,major_axis_length/minor_axis_length,perimeter/major_axis_length,perimeter/minor_axis_length,Labels,Filename,Region
0,0,0,872016.3701799997,344.2291011583247,-0.33650944775079633,492.82358078755584,265.29287912871047,1364.2530702242054,107.0,193.6650943396226,255.0,8.980289330922242,7.896526133395952,178.06535849056598,110.23009433962262,546.3601925470044,9932.2,116843.9,2005161.26,40132553.3,188749.28,1840352.33,27512990.45,492435861.77,5171209.3,43422032.35,580126936.99,9480326943.19,165429673.76,1222156113.7099998,14767939753.19,221908003338.83,9932.2,8.122498229568008e-12,630591.9835849055,1706775.0143325047,-5.565908622884308e-11,-380122.6903773585,-1648998.7230459284,-54215363.52415573,1584260.7185660375,-2965323.3302613036,109091299.03464724,59376346.82744706,6943319.072463661,-143090125.00088102,146690388.92789888,-17563805862.496094,1.971211020070259,0.12574229875337686,0.0202403926308995,0.002361700429691473,1.7419514944737214e-06,0.00026778874013335405,-4.889692469580638e-08,1,1.8576585334899087,2.7682382162883985,5.142441345221027,Incomplete,SEM_Images/39.5 hold 1.bmp,1
1,1,1,1257842.4811369996,413.4265781759894,-1.2021925597432646,593.7381096067205,316.2845243262257,1996.4285809576925,115.0,161.08567691301502,201.0,7.489142707788812,7.92986754379199,155.41085676913016,270.8904381948986,593.3511346580539,14326.73,414191.48,15235451.339999998,638175501.8599999,237623.2,6004267.89,205171882.23,8305390747.709998,5295774.079999999,119958235.01,3759822232.07,144265004884.90994,135532571.14,2806039568.85,80221833269.54999,2879545738155.75,14326.73,-4.793605512531941e-12,3261010.4100327007,9158301.491438173,-1.9174422050127762e-11,-865513.622622629,2521314.7783462377,-327849424.1796364,1354554.7523348592,-4433881.728325863,269282037.48536915,-650712201.4695718,2763540.592436835,-177343218.50270244,895149053.918032,-56030767965.39193,1.9742853181065607,0.12948258522854847,0.006736584308482257,0.0006417378447439861,-9.629677447961071e-08,-5.662940217454709e-05,1.0490626092086566e-07,2,1.8772278247617344,3.362473367727876,6.312128565919066,Incomplete,SEM_Images/39.5 hold 1.bmp,2
2,2,2,1577033.3789009994,462.9197465182805,-1.549013323329469,574.0849858984038,385.80423790465835,1712.9407864157433,117.0,183.02503912363068,255.0,8.994636955433151,6.938680934987969,157.19311424100158,277.5465362545644,574.6339190301942,17962.289999999994,532056.71,19973026.41,842528877.1099999,301339.19999999995,8875573.209999999,323356329.39,13217552623.81,6959679.94,204093695.07,7248382767.369998,288147123843.99,183461882.7,5349973580.049999,185645599869.99,7189120480398.249,17962.289999999994,9.520633170723157e-12,4213101.441857068,1322076.3875326784,-1.0039940434580785e-10,-50323.39594679187,-8734177.945162589,-8292467.559846822,1904349.386009389,-368853.289792565,371223660.07012856,279677274.5863141,2809269.5656630457,-23253978.944225427,-1528397393.3265927,-7036840310.345059,1.6646627497773283,0.042203755506220006,0.003494073912348709,0.00014846060943082934,-1.0532639888741812e-08,-9.315758764167338e-06,-4.391602800135312e-09,3,1.4880214613927447,2.9837756229334373,4.43992216290546,Incomplete,SEM_Images/39.5 hold 1.bmp,3
3,3,3,1128685.3395159994,391.6261704733707,-0.7902740291297837,432.7668883427168,386.30203374759003,1595.4020458455896,143.0,203.87026239067055,248.0,8.375009771986969,4.223846054411615,163.74962827988335,203.31943877551018,486.2479323349354,12855.64,278954.27,7594544.289999999,232278092.87,224664.49,4700854.04,121515519.64,3482776284.38,5464349.75,115283363.98,2937382541.26,81830531361.28,152087927.53,3283230871.64,83773523345.92,2312781467747.9,12855.64,-2.6597852809118195e-11,1541521.2782142856,585353.7992820689,-1.9973356302216413e-11,-174136.14352040814,-3649184.575625261,-92978961.01477008,1538124.9127332354,2798938.483737354,163937325.7998921,700412970.1312128,2832857.5438778293,-4116168.697758662,-581021211.056945,-11451301527.176205,1.6360350443626384,0.0036536176767210634,0.00550836646404701,0.0002660640320672582,6.639880715150415e-09,2.4406957550881238e-06,3.372829884738954e-08,4,1.120281154474809,3.6865159715781184,4.129934368629357,Incomplete,SEM_Images/39.5 hold 1.bmp,4
4,4,4,994592.2561769999,367.62733895489436,1.0837407772351042,438.8779058224832,341.68112767716116,1448.6973215278463,115.0,176.0049627791563,230.0,8.556140483383684,5.8806412326544475,136.38813895781635,257.3068651778329,474.4589040159328,11328.33,311084.0,9961865.42,347453786.17999995,164893.25999999998,4781136.199999998,153381109.33999997,5261920925.9,3475651.58,102835244.02,3272359910.08,110063171693.2,85989726.83999999,2560297160.78,80710757855.0,2668045692519.08,11328.33,-8.022631448056926e-12,1419277.496095947,-4054863.6833340763,-1.5512640061388087e-11,253049.98660049614,-5519988.072268781,86722739.30280422,1075493.110620347,24673.478733605563,105448976.84545223,-518385418.3884091,4089336.4130076533,37037875.35371895,-533468516.4997503,10365329626.412355,1.7067818537124682,0.01869837680496837,0.01832166947443536,0.0007556549798886298,2.8186857960499863e-07,3.232847544990384e-05,-1.0292940486954489e-07,5,1.2844663350478016,3.300911944548454,4.239910267729664,Incomplete,SEM_Images/39.5 hold 1.bmp,5
5,5,5,1161591.6176359996,397.2939929058127,1.49493651177179,563.171141398008,321.70900239578214,2031.9679904179745,119.0,199.21954674220962,255.0,7.7235493286631645,7.6907013246570655,126.29592067988668,318.8321671388102,606.8115017037827,13230.44,450191.02,18294194.14,816092480.92,178329.84,6220087.1,250657732.04,11022130262.419998,3389991.04,117353834.14,4627944308.44,198576609217.18,73885111.08,2525633145.62,97567191122.48,4087294378017.74,13230.44,-7.989342520886567e-12,2975583.837648725,-8902316.373046257,4.161115896295087e-12,152073.29501416427,-6274371.314802462,134487877.691517,986327.0776203964,-2096610.2008350932,195149836.99164683,-1784684856.3982942,1603338.1651113466,13445468.449457085,-523296806.7870936,10114940219.995718,1.987171329553404,0.10872736308961664,0.0080634218941486,0.0027151869215425997,1.317402373268723e-06,0.00023257791573792666,-3.206998647642948e-07,6,1.7505607154417373,3.60808258991014,6.316167639965973,Incomplete,SEM_Images/39.5 hold 1.bmp,6
6,6,6,280526.02097299986,195.24136697928301,-1.4629301992718242,353.74611192646057,141.47396672387444,986.9036999391283,136.0,183.00293255131962,228.0,6.4679554655870435,8.58802979622584,48.059032258064505,151.45876832844573,332.7339641515425,3195.17,51647.44,1116697.86,27551548.0,16388.129999999994,239309.8,4912541.079999999,118552332.1,132351.25,1647770.72,31378780.72,736546559.3,1336827.2699999998,13607020.3,232461698.02,5251365639.639999,3195.17,5.992006890664926e-13,281857.12897360703,388992.0054984053,1.1984013781329852e-12,-25591.58580645161,12297.926892441634,-3296935.713855636,48296.00258064517,-229064.2443666636,5148966.578739936,-28883487.01996054,162569.92901144634,-2457408.5542224767,23627920.483736087,-349351970.9042101,2.839269799487897,0.4512477104347883,0.027173451508258145,0.0012998164161622235,-7.09083015187536e-07,-8.563627238174168e-05,4.205859281258318e-07,7,2.5004325539050862,2.789864444204247,6.975867877270619,Incomplete,SEM_Images/39.5 hold 1.bmp,7
7,7,7,202373.61043799992,165.82965749934186,-0.9963445025542352,219.36030636178552,185.19750714739075,972.7107864157438,102.0,186.91056910569102,243.0,5.5542650602409624,5.021674605261267,93.89044715447152,93.7761788617886,244.33970614699527,2305.02,23068.94,303138.24,4529551.699999998,23097.05,220813.42,2695636.56,37093599.94,294414.77,2853483.58,33765769.48,439859864.14,4420569.23,44840940.81999999,531108316.08,6762047244.099999,2305.02,1.3981349411551492e-12,72261.28764227642,49304.028331019974,2.8295588094806587e-12,-10344.860894308942,-134841.7593350518,-1136932.9222627191,62974.81776422763,114260.00467050035,1585851.989117145,6201778.396774165,208381.18273316155,280628.49232092244,-3421537.6733939108,-34920200.520509064,2.2347165279678767,0.014987842878586125,0.05470440880545508,0.0038099357710993827,-5.80992514102197e-06,-6.257242237994963e-05,-8.385996389022891e-07,8,1.1844668415931,4.434306290635263,5.252288766725164,Incomplete,SEM_Images/39.5 hold 1.bmp,8
8,8,8,2068982.2367949998,530.2292049082866,1.1044958097979625,580.6187509615122,511.7665361375067,1954.1256674343078,105.0,186.10815109343937,245.0,8.49515140591204,4.425836971323139,273.5071332007952,314.77238966202776,601.5072941369872,23565.55,791652.5599999998,31994820.74,1413406855.76,687870.44,23614770.61,961920873.65,42532768424.05,24727355.04,876108052.41,35831022021.09,1574177262660.21,1005660623.96,36686357467.51,1503164482896.47,65512175341036.51,23565.55,5.6591176189613166e-11,5400331.082234592,-24249112.284847867,3.448732854849368e-11,506699.9401312131,-6040919.291746255,169227277.89875397,4648649.37746322,15845434.267119227,624718928.7875017,2573695928.6681943,12492479.072071608,219809398.6368637,-345748765.8485629,46162826021.95046,1.5887150986246044,0.004246711886959187,0.006459799343904968,0.00011905160440853292,-7.966065261911733e-09,-1.576428001986541e-06,-7.790473933388e-09,9,1.1345383294180564,3.365591731576443,3.8183928206459616,Crystal,SEM_Images/39.5 hold 1.bmp,9
9,9,9,1086729.8349129995,384.27847541255096,1.0617860893403641,440.5453338691797,361.0106656318397,1622.2944863548714,122.0,195.42543527630585,253.0,8.251846666666667,5.370245707815504,218.90760030280086,242.54184708554126,473.0690204399354,12377.77,320397.78,9870189.34,333877480.73999995,289176.94,7724365.64,245922583.8,8560792239.019999,8037698.439999999,221718393.34,7185578740.099998,252625131000.64,244937815.54,6956971297.879999,227955450896.76,8036993769168.738,12377.77,3.4886795674538e-11,1576713.4207570022,-3237986.1113927765,2.463380610606691e-11,239039.1552460257,2954231.6727893963,50644412.92760445,1281772.0794549582,2493932.1168617033,94119238.34624498,301939029.99441856,-2734818.1371823302,50566662.64942127,370054661.13180715,8370487595.288296,1.6380620857687358,0.01105901157549832,0.006617145948291122,1.5964990343974913e-05,5.534442138814844e-10,-1.137845502635792e-08,-1.969814610415243e-11,10,1.2203111315233266,3.682468889425608,4.493757777254412,Crystal,SEM_Images/39.5 hold 1.bmp,10
